"Row_no" "Date" "Detrended_demand_GWh"
"765" "1977-02-03" "1015"
"766" "1977-02-04" "999"
"767" "1977-02-05" "974"
"768" "1977-02-06" "974"
"769" "1977-02-07" "949"
"770" "1977-02-08" "956"
"771" "1977-02-09" "975"
"772" "1977-02-10" "969"
"773" "1977-02-11" "951"
"774" "1977-02-12" "948"
"775" "1977-02-13" "948"
"776" "1977-02-14" "945"
"777" "1977-02-15" "986"
"778" "1977-02-16" "974"
"779" "1977-02-17" "979"
"780" "1977-02-18" "971"
"781" "1977-02-19" "953"
"782" "1977-02-20" "953"
"783" "1977-02-21" "935"
"784" "1977-02-22" "952"
"785" "1977-02-23" "953"
"786" "1977-02-24" "959"
"787" "1977-02-25" "958"
"788" "1977-02-26" "962"
"789" "1977-02-27" "962"
"790" "1977-02-28" "965"
"791" "1977-03-01" "982"
"792" "1977-03-02" "917"
"793" "1977-03-03" "898"
"794" "1977-03-04" "884"
"795" "1977-03-05" "883"
"796" "1977-03-06" "883"
"797" "1977-03-07" "883"
"798" "1977-03-08" "897"
"799" "1977-03-09" "878"
"800" "1977-03-10" "903"
"801" "1977-03-11" "877"
"802" "1977-03-12" "883"
"803" "1977-03-13" "883"
"804" "1977-03-14" "888"
"805" "1977-03-15" "922"
"806" "1977-03-16" "906"
"807" "1977-03-17" "890"
"808" "1977-03-18" "880"
"809" "1977-03-19" "898"
"810" "1977-03-20" "898"
"811" "1977-03-21" "917"
"812" "1977-03-22" "941"
"813" "1977-03-23" "931"
"814" "1977-03-24" "915"
"815" "1977-03-25" "885"
"816" "1977-03-26" "914"
"817" "1977-03-27" "914"
"818" "1977-03-28" "944"
"819" "1977-03-29" "953"
"820" "1977-03-30" "949"
"821" "1977-03-31" "973"
"822" "1977-04-01" "886"
"823" "1977-04-02" "875"
"824" "1977-04-03" "875"
"825" "1977-04-04" "871"
"826" "1977-04-05" "867"
"827" "1977-04-06" "863"
"828" "1977-04-07" "859"
"829" "1977-04-08" "855"
"830" "1977-04-09" "851"
"831" "1977-04-10" "847"
"832" "1977-04-11" "843"
"833" "1977-04-12" "839"
"834" "1977-04-13" "836"
"835" "1977-04-14" "832"
"836" "1977-04-15" "817"
"837" "1977-04-16" "827"
"838" "1977-04-17" "827"
"839" "1977-04-18" "837"
"840" "1977-04-19" "858"
"841" "1977-04-20" "866"
"842" "1977-04-21" "840"
"843" "1977-04-22" "819"
"844" "1977-04-23" "812"
"845" "1977-04-24" "812"
"846" "1977-04-25" "805"
"847" "1977-04-26" "835"
"848" "1977-04-27" "827"
"849" "1977-04-28" "844"
"850" "1977-04-29" "822"
"851" "1977-04-30" "807"
"852" "1977-05-01" "808"
"853" "1977-05-02" "793"
"854" "1977-05-03" "836"
"855" "1977-05-04" "828"
"856" "1977-05-05" "834"
"857" "1977-05-06" "810"
"858" "1977-05-07" "806"
"859" "1977-05-08" "806"
"860" "1977-05-09" "802"
"861" "1977-05-10" "791"
"862" "1977-05-11" "794"
"863" "1977-05-12" "796"
"864" "1977-05-13" "802"
"865" "1977-05-14" "798"
"866" "1977-05-15" "799"
"867" "1977-05-16" "795"
"868" "1977-05-17" "812"
"869" "1977-05-18" "785"
"870" "1977-05-19" "769"
"871" "1977-05-20" "762"
"872" "1977-05-21" "745"
"873" "1977-05-22" "746"
"874" "1977-05-23" "729"
"875" "1977-05-24" "747"
"876" "1977-05-25" "743"
"877" "1977-05-26" "742"
"878" "1977-05-27" "740"
"879" "1977-05-28" "739"
"880" "1977-05-29" "737"
"881" "1977-05-30" "735"
"882" "1977-05-31" "734"
"883" "1977-06-01" "732"
"884" "1977-06-02" "731"
"885" "1977-06-03" "691"
"886" "1977-06-04" "626"
"887" "1977-06-05" "627"
"888" "1977-06-06" "562"
"889" "1977-06-07" "568"
"890" "1977-06-08" "651"
"891" "1977-06-09" "686"
"892" "1977-06-10" "711"
"893" "1977-06-11" "732"
"894" "1977-06-12" "733"
"895" "1977-06-13" "754"
"896" "1977-06-14" "787"
"897" "1977-06-15" "799"
"898" "1977-06-16" "774"
"899" "1977-06-17" "782"
"900" "1977-06-18" "774"
"901" "1977-06-19" "775"
"902" "1977-06-20" "767"
"903" "1977-06-21" "777"
"904" "1977-06-22" "750"
"905" "1977-06-23" "740"
"906" "1977-06-24" "728"
"907" "1977-06-25" "727"
"908" "1977-06-26" "727"
"909" "1977-06-27" "726"
"910" "1977-06-28" "749"
"911" "1977-06-29" "738"
"912" "1977-06-30" "741"
"913" "1977-07-01" "734"
"914" "1977-07-02" "712"
"915" "1977-07-03" "713"
"916" "1977-07-04" "691"
"917" "1977-07-05" "710"
"918" "1977-07-06" "712"
"919" "1977-07-07" "715"
"920" "1977-07-08" "711"
"921" "1977-07-09" "712"
"922" "1977-07-10" "712"
"923" "1977-07-11" "712"
"924" "1977-07-12" "741"
"925" "1977-07-13" "753"
"926" "1977-07-14" "742"
"927" "1977-07-15" "720"
"928" "1977-07-16" "716"
"929" "1977-07-17" "716"
"930" "1977-07-18" "712"
"931" "1977-07-19" "727"
"932" "1977-07-20" "731"
"933" "1977-07-21" "731"
"934" "1977-07-22" "704"
"935" "1977-07-23" "682"
"936" "1977-07-24" "682"
"937" "1977-07-25" "659"
"938" "1977-07-26" "668"
"939" "1977-07-27" "665"
"940" "1977-07-28" "666"
"941" "1977-07-29" "653"
"942" "1977-07-30" "643"
"943" "1977-07-31" "643"
"944" "1977-08-01" "632"
"945" "1977-08-02" "641"
"946" "1977-08-03" "641"
"947" "1977-08-04" "646"
"948" "1977-08-05" "647"
"949" "1977-08-06" "671"
"950" "1977-08-07" "671"
"951" "1977-08-08" "695"
"952" "1977-08-09" "702"
"953" "1977-08-10" "698"
"954" "1977-08-11" "700"
"955" "1977-08-12" "696"
"956" "1977-08-13" "701"
"957" "1977-08-14" "700"
"958" "1977-08-15" "705"
"959" "1977-08-16" "729"
"960" "1977-08-17" "747"
"961" "1977-08-18" "757"
"962" "1977-08-19" "761"
"963" "1977-08-20" "746"
"964" "1977-08-21" "746"
"965" "1977-08-22" "730"
"966" "1977-08-23" "736"
"967" "1977-08-24" "771"
"968" "1977-08-25" "769"
"969" "1977-08-26" "766"
"970" "1977-08-27" "763"
"971" "1977-08-28" "760"
"972" "1977-08-29" "757"
"973" "1977-08-30" "755"
